Date,Description,Category,Amount
2024-08-01,Coffee,Food,300
2024-08-02,Bus Ticket,Transport,50
2024-08-03,Grocery Shopping,Food,1200
2024-08-04,Movie Tickets,Entertainment,800
2024-08-05,Lunch,Food,500
2024-08-06,Electricity Bill,Utilities,3500
2024-08-07,Uber Ride,Transport,300
2024-08-08,Books,Education,1000
2024-08-09,Gym Membership,Health,1500
2024-08-10,Concert Tickets,Entertainment,2500
2024-08-11,Dinner,Food,1500
2024-08-12,Water Bill,Utilities,800
2024-08-13,Taxi Ride,Transport,400
2024-08-14,Internet Bill,Utilities,2000
2024-08-15,Pharmacy,Health,600
2024-08-16,Buy food,Food,1220
2024-08-19,bif food,Food,123
